type;key;value;num;first;last;nick;height;pos
meta;teamName;C.B. Pumarín;;;;;;
meta;teamSub;Gijón;;;;;;
meta;logo;../images/logos/logo-pumarin.jpg;;;;;;
meta;coach;Bruno Ramos;;;;;;
meta;assistant;-;;;;;;
meta;tournamentTitle;IV Edición del Torneo David Gustavo Acuña;;;;;;
meta;tournamentLogo;../../images/logos/logo-acu.png;;;;;;
player;;;33;DIANA;ÁLVAREZ BLANCO;;1,79;Pivot
player;;;6;Daniela;Viejo González;;1.67cm;Alero
player;;;31;Carmen;Altava González;;160;Base
player;;;13;Claudia; Giner Ramos;;174 cm;Alero
player;;;12;Nuria; Bartoloni Yuste;;1,82;Escolta
player;;;9;María;Fraile;;172;Escolta
player;;;20;Cayetana;Martínez Castro;;1,72;Escolta
player;;;10;Uxia;Fraiz Rodriguez;;1,72;Base
player;;;21;Julia;Sánchez;;1’73;Alero
player;;;;"Carmen
";Rosa Fernández;;;
player;;;;Comfort;Osarodion;;;
player;;;;Daniela;Dago;;;
player;;;;;;;;
player;;;;;;;;
